restaurant,review,rating,date
360 The Restaurant at the CN Tower,I dined here for my birthday as good as the food tasted all members of my party felt sick from in a few hours later. Service was great friendly serve just had a hard time getting their attention sometimes.,3,02/19/2026
360 The Restaurant at the CN Tower,"Food was not delicious. Just regular level of taste, but very expensive when consider the taste and dish size.<br>Server was very rushing us to pay, and keep asking me for the card which was very unacceptable experience<br>Everything is about the veiw. No other reason to visit.<br>The view, you can enjoy by just going up to the tower, not the restuarant.",1,02/19/2026
360 The Restaurant at the CN Tower,"We went on Feb Dinner time, not so crowded on the day.  Relax and comfortable.  Great view, Great Service, Great Food.  We had a wonderful evening.  Recommended to go at winter time.",5,02/19/2026
360 The Restaurant at the CN Tower,It’s a great value when you consider you can visit the observation deck and other areas as part of your meal cost. The food is delicious and the views can’t be beat!,4,02/18/2026
360 The Restaurant at the CN Tower,"Great way to see Toronto and our server, Stephen, was fabulous!",5,02/18/2026
360 The Restaurant at the CN Tower,"Dining at the CN Tower’s 360 Restaurant is an unforgettable experience. The food is delicious and beautifully presented, with local ingredients and perfectly cooked dishes that match the stunning, rotating view of Toronto. The service is friendly and professional, making it an ideal spot for special occasions or anyone wanting a memorable dining experience with world-class scenery.",5,02/18/2026
360 The Restaurant at the CN Tower,"I used to have very high expectations for 360 Restaurant at the CN Tower, especially because my previous visit last yeat was decent. Unfortunately, this time the experience was extremely disappointing.<br><br>The food quality was far below expectations. The appetizer was extremely hard to chew and I couldn’t finish it. Our main course (rib and pork) had an unpleasant smell and taste! It was not enjoyable at all. For a restaurant of this reputation and price point, this was shocking. The only item that was acceptable was the dessert.<br><br>Service was also lacking. Our server was not attentive; I waited nearly 20 minutes just to receive the bill. When I asked if she could take a photo of us for my friend’s birthday, I felt an uncomfortable attitude, which made me decide not to ask again.",2,02/16/2026
360 The Restaurant at the CN Tower,"our experience was disappointing. The soup arrived cold and had to be returned. The steak contained roughly 25% fat, which made it poor value for the price. The waiter didn’t offer coffee or tea and came across as robotic rather than welcoming. Overall, the food lacked flavor and was quite bland. Based on this visit, I wouldn’t recommend this restaurant.",1,02/16/2026
360 The Restaurant at the CN Tower,"Awful food, cant cook a steak to a simple medium temp and the mashed potatoes were POWDERED! The bill came out to over 200$ for powdered potatoes<br>Absolutely insane. Do not recommend to eat here. There are tons quality restaurants around the CN tower that are more worth your money",1,02/16/2026
360 The Restaurant at the CN Tower,"The food was good, the service was wonderful, the ambiance was worth it. We loved it",5,02/15/2026
