restaurant,review,rating,date
Lavelle,"Unfortunately, our experience at Lavelle<br>was quite disappointing. Although we had a reservation, we were treated poorly because we were about 15 minutes late. The staff did not give us the table we had requested in advance, and their attitude felt unwelcoming.<br><br>The quality of the food was underwhelming and not what we expected for the price. On top of that, the waitstaff seemed uninterested and unfriendly — it felt like they were looking down on us rather than trying to help.<br><br>Also, the security staff were not professional or polite, which added to the overall negative atmosphere.<br><br>We were really looking forward to our night, but sadly, we left disappointed. I hope the management takes this kind of feedback seriously.",1,02/17/2026
Lavelle,"Lavelle’s one of my summer spots! Highly recommend. Good food, good staff, awesome views. Not a fan of what they did with the renovations. They took away so much free space you could move around and mingle or see the views and replaced it with more tables.",4,01/29/2026
Lavelle,I keep putting off this review for quite some time because of my travelling back and forth but the experience I've had here the first night was so terrifying I now have PTSD. The Security staff here is extremely hostile. I've never experienced anything like this. The general service is terrible it took a long time before I could even get an order in but the bartender was pleasant. When you get there for the first time it's so confusing you don't even know where you're going because its two different clubs and the security is rushing you to move out the way even if the traffic is slow. My friend and I didn't like the environment with the staff and the service so we decided to leave. Upon leaving I'm trying to get my things in my purse so I'm walking slowly but still walking up the stairs and the female staff was rushing me to leave so I walked away. As soon as turned the corner and I get outside the two male guards shouted at me telling me to move out the way while I was still walking and leaving out the exit but clearly I was already leaving. Things escalated while I said I was already leaving but it seemed like they just wanted a confrontation and they tagged teamed and started a commotion.  It was so loud and embarrassing and I feared for my life as a woman much smaller than them with those two guards who kept coming towards me shouting when I was just trying to leave in peace.  A group of guys walked by and even said don't go there because that's how they are that they've also had terrible experiences. I have never in my life experienced this and don't ever want to again. It was not worth it for a night out at all. I complained but I lost contact with management but clearly they don't care.,1,01/21/2026
Lavelle,good view but over-hyped!,1,01/15/2026
Lavelle,"NYE at this place was a total bust. The music, vibe, and service were super dull. What a waste of money. I'd get a refund if I could.",1,01/01/2026
Lavelle,Worse New Year’s party ever. The music sucked big time so did the food. The whole thing was a flop,1,01/01/2026
Lavelle,"We came Saturday evening, it was a great dining experience. The ambiance is a great music was good, the staff super friendly very attentive to your tables. We didn’t have to once call anyone over, water was refilled right away, the follow up on food was excellent. Everything was on point.<br>The food was very tasty. We ordered two wagyu burger combos, one salmon, one sirloin plate two apps which was just prepared exceptionally well!<br>I ordered a pineapple mocktail though I could have had several of them they were refreshing.<br>The dessert was ice cream and lava cake.<br>I love the roof top, the view of the CN tower is great,so is seeing the rest of the city.<br>I’m sure we will come again try it out in the summer. I love that there is a swimming pool.",5,12/23/2025
Lavelle,"I’m a flight attendant. I have been out across the world in over 200 cities and I know that people of colour experience racism when going out. I’ve seen it everywhere. This is beyond what I’ve seen in Miami, Sydney, Barcelona, London, Paris, Berlin, or anywhere else in the world. This is crazy. This is the most racist place in the world. The line seems like a social experiment. Toronto is also the worst place in the world to go out. They wonder why they don’t have hot people in the club or hot women. First off - they try to charge them $60 cover. Everyone knows hot women don’t pay or stand in line and I’ve seen the hottest women in the world in their lines. Nowhere else but Toronto do these woman stand in line. I wouldn’t go out if I lived here. Absolutely not. I’m not going to be subjected to that - racism or paying $60 charge. It’s humiliating. IM A WOMAN. Clubs need us there. We don’t pay or wait even in Miami, I’m pulled in. I have 50+ promoters in my DMs from there alone. I msg at my hotel and getting in my uber and they are waiting outside like hungry dogs when I arrive there to usher me in. Toronto I’m treated like a dog.",1,12/21/2025
Lavelle,"My favorite rooftop in all of Toronto! 🇨🇦🗼<br>I really love the decor and design of the space, but the food can definitely improve.",4,12/19/2025
Lavelle,"Lavelle has a lot of potential but unfortunately the crowd this venue attracts doesn’t allow it to succeed. Every time I come here, I’m always reminded why I shouldnt. The people who come to Lavelle are good for nothing maniacs. They have no respect for anyone. they will push you and make hand gestures to shoo you away when you’re trying to move around you instead of saying excuse me. They scream and talk so loudly. They will bud in line. They will stand around acting like they’re some top g yet they’re rlly not. Like buddy you’re literally from the suburbs relax. Don’t be acting like you’re all that just because you took one cn tower pic at Lavelle. Anyways come here for the pics and that’s it. Music is good sometimes",2,12/16/2025
Lavelle,"We came last Friday for a company event and honestly had a great time. The atmosphere was super nice, the DJ kept the energy just right, and the food was really on point. Overall, we all left happy,  great spot for a nice Friday night.",5,12/11/2025
Lavelle,Music is so loud and At the end the server make the face because we didnt give her the tip even the all the window side tables are empty they didnt give us the window table when we ask them food is also not up the mark,1,12/01/2025
Lavelle,My company hosted our annual holiday party here and we really had a great time. The rooftop hall was gorgeous. The staff was gracious and attentive. The food and drinks were amazing. I loved the chocolate mousse and the steak. Would love to visit this place again.,5,11/28/2025
Lavelle,"Very nice location, but honestly the service is garbage. I was sitting at the bar waiting for a drink for 30 mins, Everytime I kept trying to order I was asked to ""hold on"". And then at one point, 1 out of the 2 bartenders left for a good 20 mins to go get bottles. I was here for a speed dating event, and I feel they were under staffed for the demand.",1,11/23/2025
Lavelle,"Food was amazing. The Wagyu burger was heavenly. The dessert platter was delicious. The Manager was on point. He was polished, dapper and very attentive. Staff were friendly and patient. Very high end experience with direct views of the CN tower. We will be back.",5,11/16/2025
Lavelle,"Went there for dinner with my boyfriend, we had both been there before but just to the bar, this was our first time eating there. We got sushi rolls and steak, the sushi was actually quite good but the streak was absolutely covered in bbq sauce which was a surprise. It was still fine, but would have preferred it on the side or just less. The atmosphere is nice, the have a nice rooftop area you can walk out to, but they also play quite loud club music which doesnt seem to match the vibe. Most people were talking or hanging out at the bar, the loud club music (especially because we went at 830) also felt a bit out of place. But the service waa great, our server was really nice and the manager also was around helping out and checking in with us which is nice to see.",4,11/15/2025
Lavelle,"Not a bad place to spend time with the company, I wouldn't say the food was special<br>But the atmosphere was amazing",4,11/11/2025
Lavelle,"We came here to celebrate our friend’s birthday, and it was such a great experience! The vibes were amazing, and the CN Tower views made it the perfect picture-taking spot. I got the Spicy Salmon California Roll and the Sambal Soy Broccolini both were so good! The food came out super quick, and Lucie, our server, was amazing the whole night. Definitely recommend coming here for a fun night out or a special occasion.🤍🤍",5,11/09/2025
Lavelle,"Lavelle is such a beautiful place! I went there with my friends and the food was bomb seriously, everything tasted amazing. The only thing we didn’t like was that we had to ask several times and wait quite a while for someone to bring the bill. Other than that, it was a great experience overall.",4,11/05/2025
Lavelle,Had lovely time yesterday,5,11/02/2025
Lavelle,We came as part of a work event on a Tuesday night. It was a large group of us and two other tables in the restaurant. Our server tried to handle our tables with the assistance of lots of runners and what appeared to be a manager. They (the server) did not crack much of a smile and a couple of facial expressions could be read as frustration with our taking time to decide on some drinks. They never connected with our tables in a meaningful manner. Some of us received our meals and there was a gap while the rest of the table waited for their meals. Some of the meat was not cooked to the preferences of my co-workers (too rare) it seemed to be a bit of an inconvenience to correct. The three course set menu was a reasonable choice for its price.<br><br>The views from the deck and windows are unsurpassed. We went out onto the patio and it was breathtaking but many of us noticed the green in the water even though it was dusk and was an unpleasant sight. (Understand the time of the year but then drain the pool if you aren't keeping it up)<br><br>I get that we aren't the restaurant's target market (we are older and not hip) but the amount of money spent would have appreciated a bit friendlier service.,4,11/02/2025
Lavelle,"A bit overhyped in my humble opinion.<br><br>We enjoyed the appetizers, and the main course — especially the steaks — was nicely served and pre-cut, making sharing easy and convenient. However, the Korean BBQ chicken lacked flavor and was quite bland. Since it was the last dish served, it left a rather flat aftertaste.<br><br>Desserts were decent, though not particularly standout. I liked the menu choices, but a stronger touch of lavender would have complemented the lemon better — the lemon flavor overpowered the lemon lavender cheese cake.<br><br>Even the booking process felt a little overhyped overall.",3,11/02/2025
