restaurant,review,rating,date
McDonald's,all employees slow work baihebor not good just 1 tea meaking 7 miking minitus,1,02/16/2026
McDonald's,Very bad service and tasteless food.,2,02/06/2026
McDonald's,"Right now, I just had a very upsetting experience at the kiosk at this location due to the conduct of two managers, primarily the thinner manager working at the counter.<br><br>When I asked if it was okay to briefly step into the store next door while waiting for my order, she responded sarcastically with, “That’s up to you,” and, “We work behind the counter, so why would anyone come take your order?” Her tone was dismissive and condescending.<br><br>I explained I would return quickly. When I came back, I was told my name had been called, yet my order had not even been made. After waiting over thirty minutes, the explanations were contradictory and frustrating. When I pointed this out, the same manager said, “You had that conversation with me, not her. Did you seriously expect me to tell her?”<br><br>She then approached me smiling and laughing, repeatedly asking, “Are you okay? You don’t look okay,” in a clearly mocking way. When I asked for her name to file a complaint, she refused and kept asking, “Why do you want my name?” and “What’s the complaint about?” The second manager also refused to help and said it was not her responsibility.<br><br>No customer should be spoken to with sarcasm, mocked, or denied basic accountability by management. I am seeking the owner’s or head office’s contact information to formally escalate this matter. If anyone has that information, please share it.",1,01/17/2026
McDonald's,Food inspectors should be paying this place a visit every week. Cleanliness is questionable and staff are slow with ZERO sense of urgency. Fast food without the fast.,1,01/08/2026
McDonald's,Your employee Lisa’s not good behaviour with DoorDash dasher and Uber,1,12/22/2025
McDonald's,The dirtiest McDonald I ever saw,1,11/25/2025
McDonald's,Hands down the worst location in Toronto. Expect a long wait at 7PM and 2AM the same. Place is always dirty and food lukewarm.,1,11/22/2025
McDonald's,"Everytime I order things are missing.<br>Today both veggie burger cheese was missing,  even though I pay for extra cheese.<br>Not a single Napkins. Order no 2190",1,11/18/2025
McDonald's,Akshit was very good guy. hes very hardworking and polite.,5,11/08/2025
McDonald's,"It's McDonald's, what did your expect (although this one holds a secret)",3,11/05/2025
McDonald's,18 minutes for a black coffee,1,11/02/2025
McDonald's,Staff is not professional and very lazy.. taking very very much time.. please use other store than this..,1,10/11/2025
McDonald's,"I am a Muslim and I always wanted to eat from McDonald's and now I decided to try the Fillet O' Fish and it tasted great, soft and had a special flavor... I love McDonald's",5,10/09/2025
McDonald's,Very bad service not looking,1,10/07/2025
McDonald's,"The best thing about this Mcdonalds is the service. Employees are always kind, courteous and efficient. Sarabjit, Jade and Mica are the best! They always serve your food with a smile on their face!",5,10/06/2025
McDonald's,Probably one of the slowest and most unprofessional staff work here. Sadly it’s the closest McDonalds to me. I’ve got limited options.,1,10/04/2025
McDonald's,"I tried out this location and the vibe , food and everything is not the same like Queen and Spadina go there not here!  The McChicken tasted 45 mins in the hot oven not fresh before serving ; the Big Mac is not hot; the fries not hot and crispy the service is not the same experience as Queen and Spadina",3,10/03/2025
McDonald's,They serve so slow even it’s not busy .,1,09/19/2025
McDonald's,Jessie is my favourite part of my night on king st!,5,09/18/2025
McDonald's,Low rating because the ticket printing machine didn't work which made ordering a chore. But the McVeggie is surprisingly good.,3,09/17/2025
McDonald's,"Two of the staff were very rude, and even after my complaint, they didn’t apologize.",1,09/14/2025
McDonald's,Absolutely disgusting.  I would rather go to taco bell,1,08/26/2025
